# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.check.recursive.update.ms,1781267382553000000,1781267392173000000,0
workspaceModel.initializing.ms,1781267382553000000,1781267392173000000,0
workspaceModel.updates.precise.ms,1781267382553000000,1781267392173000000,0
workspaceModel.cachedValueWithParameters.clear.ms,1781267382553000000,1781267392173000000,0
workspaceModel.cachedValue.calculated.ms,1781267382553000000,1781267392173000000,0
workspaceModel.full.replace.project.model.ms,1781267382553000000,1781267392173000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1781267382553000000,1781267392173000000,3
workspaceModel.updates.count,1781267382553000000,1781267392173000000,0
workspaceModel.cachedValueWithParameters.total.get.ms,1781267382553000000,1781267392173000000,0
workspaceModel.update.unloaded.entities.ms,1781267382553000000,1781267392173000000,0
workspaceModel.updates.ms,1781267382553000000,1781267392173000000,0
workspaceModel.to.snapshot.ms,1781267382553000000,1781267392173000000,0
workspaceModel.pre.handlers.ms,1781267382553000000,1781267392173000000,0
workspaceModel.cachedValueWithParameters.from.cache.ms,1781267382553000000,1781267392173000000,0
workspaceModel.collect.changes.ms,1781267382553000000,1781267392173000000,0
workspaceModel.replace.project.model.ms,1781267382553000000,1781267392173000000,0
workspaceModel.cachedValue.clear.ms,1781267382553000000,1781267392173000000,0
workspaceModel.cachedValue.total.get.ms,1781267382553000000,1781267392173000000,0
workspaceModel.loading.total.ms,1781267382553000000,1781267392173000000,44
workspaceModel.loading.from.cache.ms,1781267382553000000,1781267392173000000,35
workspaceModel.cachedValueWithParameters.calculated.ms,1781267382553000000,1781267392173000000,0
workspaceModel.cachedValue.from.cache.ms,1781267382553000000,1781267392173000000,0
workspaceModel.init.bridges.ms,1781267382553000000,1781267392173000000,0
cacheStateStorage.set.counter,1781267382553000000,1781267392173000000,0
cacheStateStorage.set.duration,1781267382553000000,1781267392173000000,0
cacheStateStorage.get.counter,1781267382553000000,1781267392173000000,10
cacheStateStorage.get.duration,1781267382553000000,1781267392173000000,0
VFS.fileByIdCache.misses,1781267382553000000,1781267392173000000,0
VFS.invertedFileNameIndex.requests,1781267382553000000,1781267392173000000,0
VFS.fileChildByName,1781267382553000000,1781267392173000000,10
VFS.fileByIdCache.hits,1781267382553000000,1781267392173000000,0
writeAction.wait.ms,1781267382553000000,1781267392173000000,0
parser.LogcatFilter.time.ns,1781267382553000000,1781267392173000000,6046834
parser.LogcatFilter.size.bytes,1781267382553000000,1781267392173000000,0
writeAction.max.wait.ms,1781267382553000000,1781267392173000000,0
lexer.LogcatFilter.time.ns,1781267382553000000,1781267392173000000,591750
writeAction.median.wait.ms,1781267382553000000,1781267392173000000,0
writeAction.count,1781267382553000000,1781267392173000000,4
lexer.LogcatFilter.size.bytes,1781267382553000000,1781267392173000000,0
jps.library.entities.serializer.save.entities.ms,1781267382553000000,1781267392173000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1781267382553000000,1781267392173000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1781267382553000000,1781267392173000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1781267382553000000,1781267392173000000,0
jps.global.initialize.library.bridges.after.loading.ms,1781267382553000000,1781267392173000000,4
workspaceModel.global.apply.state.to.project.builder.ms,1781267382553000000,1781267392173000000,0
jps.app.storage.content.reader.load.component.ms,1781267382553000000,1781267392173000000,1
workspaceModel.mutableEntityStorage.entities.ms,1781267382553000000,1781267392173000000,4
jps.global.initialize.library.bridges.ms,1781267382553000000,1781267392173000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1781267382553000000,1781267392173000000,0
workspaceModel.mutableEntityStorage.instances.count,1781267382553000000,1781267392173000000,3
workspaceModel.mutableEntityStorage.put.entity.ms,1781267382553000000,1781267392173000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1781267382553000000,1781267392173000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1781267382553000000,1781267392173000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1781267382553000000,1781267392173000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1781267382553000000,1781267392173000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1781267382553000000,1781267392173000000,0
jps.global.get.libraries.ms,1781267382553000000,1781267392173000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1781267382553000000,1781267392173000000,0
workspaceModel.load.cache.from.file.ms,1781267382553000000,1781267392173000000,2
jps.library.entities.serializer.load.entities.ms,1781267382553000000,1781267392173000000,0
workspaceModel.do.save.caches.ms,1781267382553000000,1781267392173000000,0
jps.global.get.library.ms,1781267382553000000,1781267392173000000,0
jps.save.global.entities.ms,1781267382553000000,1781267392173000000,0
workspaceModel.sync.entities.ms,1781267382553000000,1781267392173000000,0
workspaceModel.global.updates.ms,1781267382553000000,1781267392173000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1781267382553000000,1781267392173000000,0
workspaceModel.save.cache.to.file.ms,1781267382553000000,1781267392173000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1781267382553000000,1781267392173000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1781267382553000000,1781267392173000000,0
jps.global.handle.before.change.events.ms,1781267382553000000,1781267392173000000,0
workspaceModel.global.updates.count,1781267382553000000,1781267392173000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1781267382553000000,1781267392173000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1781267382553000000,1781267392173000000,0
jps.load.initial.state.ms,1781267382553000000,1781267392173000000,22
workspaceModel.moduleManagerBridge.build.module.graph.ms,1781267382553000000,1781267392173000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1781267382553000000,1781267392173000000,0
workspaceModel.global.apply.state.to.project.ms,1781267382553000000,1781267392173000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1781267382553000000,1781267392173000000,0
jps.global.get.library.by.name.ms,1781267382553000000,1781267392173000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1781267382553000000,1781267392173000000,0
workspaceModel.load.cache.metadata.from.file.ms,1781267382553000000,1781267392173000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1781267382553000000,1781267392173000000,0
jps.global.handle.changed.events.ms,1781267382553000000,1781267392173000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1781267382553000000,1781267392173000000,0
FilePageCacheLockFree.totalPagesRequested,1781267382553000000,1781267392173000000,0
FilePageCacheLockFree.totalPagesReadMs,1781267382553000000,1781267392173000000,0
DirectByteBufferAllocator.reclaimed,1781267382553000000,1781267392173000000,43
FilePageCacheLockFree.housekeeperTurnsSkipped,1781267382553000000,1781267392173000000,0
FilePageCache.pageHits,1781267382553000000,1781267392173000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1781267382553000000,1781267392173000000,41943040
FilePageCacheLockFree.totalPagesAllocated,1781267382553000000,1781267392173000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1781267382553000000,1781267392173000000,0
FilePageCache.capacityInBytes,1781267382553000000,1781267392173000000,503316478
FilePageCache.totalPageLoadsUs,1781267382553000000,1781267392173000000,212893
FilePageCache.maxCacheSizeInBytes,1781267382553000000,1781267392173000000,173015040
FilePageCache.disposedBuffers,1781267382553000000,1781267392173000000,168
MappedFileStorage.totalTimeSpentOnMappingUs,1781267382553000000,1781267392173000000,77188
DirectByteBufferAllocator.hits,1781267382553000000,1781267392173000000,3
FilePageCache.pageLoadsAboveSizeThreshold,1781267382553000000,1781267392173000000,0
MappedFileStorage.storages,1781267382553000000,1781267392173000000,0
FilePageCacheLockFree.totalPagesWriteMs,1781267382553000000,1781267392173000000,0
MappedFileStorage.totalPagesMapped,1781267382553000000,1781267392173000000,0
FilePageCacheLockFree.totalPagesHandedOver,1781267382553000000,1781267392173000000,0
FilePageCacheLockFree.heapBytesInUse,1781267382553000000,1781267392173000000,0
MappedFileStorage.totalBytesMapped,1781267382553000000,1781267392173000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1781267382553000000,1781267392173000000,0
FilePageCacheLockFree.totalBytesRequested,1781267382553000000,1781267392173000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1781267382553000000,1781267392173000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1781267382553000000,1781267392173000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1781267382553000000,1781267392173000000,0
DirectByteBufferAllocator.disposed,1781267382553000000,1781267392173000000,125
FilePageCache.uncachedFileAccess,1781267382553000000,1781267392173000000,67
FilePageCacheLockFree.totalBytesRead,1781267382553000000,1781267392173000000,0
FilePageCacheLockFree.totalPagesWritten,1781267382553000000,1781267392173000000,0
FilePageCacheLockFree.totalBytesWritten,1781267382553000000,1781267392173000000,0
StorageLockContext.competingThreads.avg,1781267382553000000,1781267392173000000,0.0
FilePageCacheLockFree.totalPagesReclaimed,1781267382553000000,1781267392173000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1781267382553000000,1781267392173000000,0
FilePageCache.totalPageDisposalsUs,1781267382553000000,1781267392173000000,1840
FileChannelInterruptsRetryer.totalRetriedAttempts,1781267382553000000,1781267392173000000,0
DirectByteBufferAllocator.misses,1781267382553000000,1781267392173000000,165
FilePageCacheLockFree.totalPagesRequestsMs,1781267382553000000,1781267392173000000,0
FilePageCache.pageFastCacheHits,1781267382553000000,1781267392173000000,3319
FilePageCacheLockFree.nativeBytesInUse,1781267382553000000,1781267392173000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1781267382553000000,1781267392173000000,0
StorageLockContext.competingThreads.90P,1781267382553000000,1781267392173000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1781267382553000000,1781267392173000000,41943040
FilePageCacheLockFree.totalHeapBytesReclaimed,1781267382553000000,1781267392173000000,0
StorageLockContext.competingThreads.max,1781267382553000000,1781267392173000000,0
FilePageCache.pageLoads,1781267382553000000,1781267392173000000,168
FilePageCache.maxRegisteredFiles,1781267382553000000,1781267392173000000,444
ReadAction.executionsCount,1781267382553000000,1781267392173000000,61417
AWTEventQueue.eventsDispatched,1781267382553000000,1781267392173000000,0
WriteAction.executionsCount,1781267382553000000,1781267392173000000,4
FlushQueue.executionTimeAvgNs,1781267382553000000,1781267392173000000,0.0
FlushQueue.executionTimeMaxNs,1781267382553000000,1781267392173000000,0
FlushQueue.tasksExecuted,1781267382553000000,1781267392173000000,0
FlushQueue.waitingTime90PNs,1781267382553000000,1781267392173000000,0
NonBlockingReadAction.failedExecutionsCount,1781267382553000000,1781267392173000000,0
NonBlockingReadAction.finalizedExecutionsCount,1781267382553000000,1781267392173000000,16
FlushQueue.executionTime90PNs,1781267382553000000,1781267392173000000,0
FlushQueue.queueSizeMax,1781267382553000000,1781267392173000000,0
AWTEventQueue.dispatchTimeAvgNs,1781267382553000000,1781267392173000000,0.0
FlushQueue.queueSizeAvg,1781267382553000000,1781267392173000000,0.0
AWTEventQueue.dispatchTime90PNs,1781267382553000000,1781267392173000000,0
AWTEventQueue.dispatchTimeTotalNS,1781267382553000000,1781267392173000000,7787324930
FlushQueue.waitingTimeMaxNs,1781267382553000000,1781267392173000000,0
FlushQueue.waitingTimeAvgNs,1781267382553000000,1781267392173000000,0.0
NonBlockingReadAction.failedExecutionTimeUs,1781267382553000000,1781267392173000000,0
AWTEventQueue.dispatchTimeMaxNs,1781267382553000000,1781267392173000000,0
FlushQueue.queueSize90P,1781267382553000000,1781267392173000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1781267382553000000,1781267392173000000,90428
